Varenummer,Område,Mængde
###-2XL-B,DK,6
###-2XL-W,DK,8
###-L-B,DK,14
###-L-W,DK,4
###-M-B,DK,11
###-M-W,DK,1
###-S-B,DK,8
###-XL-B,DK,17
###-XL-W,DK,14
###-XS-B,DK,5
###-XS-W,DK,4
020931-99-3-B-XS,DK,2
020932-99-5-B-M,DK,3
020932-99-6-B-L,DK,2
021030-92-3-XS-ASH,DK,14
021030-92-4-S-ASH,DK,95
021030-92-6-L-ASH,DK,48
021030-92-7-XL-ASH,DK,65
021030-92-8-2XL-ASH,DK,54
021030-92-9-3XL-ASH,DK,7
021030-99-10-4XL-B,DK,10
021030-99-11-5Xl-B,DK,10
021030-99-3-XS-B,DK,14
021030-99-4-S-B,DK,103
021030-99-5-M-B,DK,102
021030-99-6-L-B,DK,98
021030-99-7-XL-B,DK,116
021030-99-8-2XL-B,DK,56
021030-99-9-3XL-B,DK,50
021033-99-10-4XL-B,DK,20
021033-99-11-5Xl-B,DK,10
021033-99-3-XS-B,DK,14
021033-99-4-S-B,DK,29
021033-99-5-M-B,DK,53
021033-99-6-L-B,DK,49
021033-99-7-XL-B,DK,59
021033-99-8-2XL-B,DK,53
021033-99-9-3XL-B,DK,16
027950-00-4-S-W,DK,2
027950-00-5-M-W,DK,6
027950-00-7-XL-W,DK,19
027950-00-8-2XL-W,DK,2
027955-00-4-S-W,DK,10
027955-00-5-M-W,DK,16
027955-00-6-L-W,DK,17
027955-00-7-XL-W,DK,15
027955-00-8-2XL-W,DK,5
028247-99-3-XS-B,DK,8
028247-99-4-S-B,DK,19
028247-99-5-M-B,DK,37
028247-99-6-L-B,DK,14
028247-99-7-XL-B,DK,19
028247-99-8-2XL-B,DK,10
029033-00-10-4XL-W,DK,30
029033-00-3-XS-W,DK,20
029033-00-4-S-W,DK,93
029033-00-5-M-W,DK,82
029033-00-6-L-W,DK,25
029033-00-7-XL-W,DK,94
029033-00-8-2XL-W,DK,47
029033-00-9-3XL-W,DK,51
029033-99-3-XS-B,DK,10
029033-99-4-S-B,DK,56
029033-99-5-M-B,DK,103
029033-99-6-L-B,DK,115
029033-99-7-XL-B,DK,100
029033-99-8-2XL-B,DK,54
029034-99-3-XS-B,DK,4
029034-99-4-S-B,DK,50
029034-99-5-M-B,DK,60
029034-99-6-L-B,DK,16
029034-99-7-XL-B,DK,9
0510-00-4-S-W,DK,44
0510-00-5-M-W,DK,75
0510-00-6-L-W,DK,85
0510-00-7-XL-W,DK,93
0510-00-8-2XL-W,DK,48
0510-00-9-3XL-W,DK,30
0510-99-10-4XL-B,DK,52
0510-99-4-S-B,DK,47
0510-99-5-M-B,DK,80
0510-99-6-L-B,DK,89
0510-99-7-XL-B,DK,84
0510-99-8-2XL-B,DK,4
0510-99-9-3XL-B,DK,30
0511-00-4-S-W,DK,46
0511-00-5-M-W,DK,88
0511-00-6-L-W,DK,57
0511-00-7-XL-W,DK,88
0511-00-8-2XL-W,DK,45
0511-99-4-S-B,DK,16
0511-99-5-M-B,DK,98
0511-99-6-L-B,DK,70
0511-99-7-XL-B,DK,102
0511-99-8-2XL-B,DK,1
10441,DK,14508
10442,DK,14210
10443,DK,14410
39473090,DK,34
39473090-C-DE,DK,43
39473090-C-DK,DK,501
39473090-DE,DE,5
39473090-DE,DK,15
39473090-DK,DK,1443
39473090-FI,DK,2
39473090-KP-DE,DK,196
39473090-KP-DK,DK,80
5430-99-4-S-B,DK,33
5430-99-5-M-B,DK,51
5430-99-6-L-B,DK,44
5430-99-7-XL-B,DK,65
5430-99-8-2XL-B,DK,55
5430X-99-9-3XL-B,DK,30
6429,DK,17482
6430,DK,17888
6431,DK,17810
6432,DK,14981
6436,DK,14983
9630-99-4-S-B,DK,14
9630-99-5-M-B,DK,55
9630-99-6-L-B,DK,62
9630-99-7-XL-B,DK,85
9630-99-8-2XL-B,DK,39
9630-99-9-3XL-B,DK,10
9630X-99-10-4XL-B,DK,10
9630X-99-11-5XL-B,DK,10
9631-99-4-S-B,DK,9
9631-99-5-M-B,DK,14
9631-99-6-L-B,DK,15
9631-99-7-XL-B,DK,19
9631-99-8-2XL-B,DK,10
A920Pro-2AW-RE6-20EU,DK,8000
A920Pro-2AW-RE6-20EU-C-FR,DK,1166
Basic-Langærmet-Unisex-L-B,DK,34
Basic-Langærmet-Unisex-M-B,DK,28
Basic-Langærmet-Unisex-M-W,DK,14
Basic-Langærmet-Unisex-S-B,DK,12
Basic-Langærmet-Unisex-XS-B,DK,9
Basic-Langærmet-Unisex-XS-W,DK,4
Basic-Tshirt-Krave-2XL-B,DK,15
Basic-Tshirt-Krave-3XL-B,DK,6
Basic-Tshirt-Krave-L-B,DK,18
Basic-Tshirt-Krave-M-B,DK,9
Basic-Tshirt-Krave-S-B,DK,13
Basic-Tshirt-Krave-XL-B,DK,28
Basic-Tshirt-Krave-XS-B,DK,8
CA-CD330-48B,DK,2755
Cposx5-C-DE,DK,178
Cposx5-C-DK,DK,617
Cposx5-C-FI,DK,144
Cposx5-DE,DE,4
Cposx5-DE,DK,600
Cposx5-DE,General,25
Cposx5-DK,DK,40
Cposx5-FI,DK,104
Ether5m,DK,1
"Ether7,5m",DE,544
"Ether7,5m",DK,6517
K1480-B,DK,5543
K1480-W,DK,28331
L920Pro-BC-1E0,DK,28260
MT134-1,DK,3607
Silicone_cover_white,DK,11815
Sim-CPOS-2MM,DE,4
Sim-CPOS-2MM,DK,1192
"Sim-Terminal-1,5MM",DE,50000
"Sim-Terminal-1,5MM",DK,28120
TB32BXU-C-DE,DK,340
TB32BXU-C-DK,DK,206
TB32BXU-DK,DK,1241
TH13-B,DK,2207
Terminal stand White,DE,250
Terminal stand White,DK,48
UN3480_FP_TERMINAL_BAT,DK,1369
VEJLEDNING-POS,DK,5809
VL305.741,DE,167
VL305.741,DK,1590
VL308.096,DE,72
VL308.096,DK,305
silicone_cover_black,DK,10795
