SKU,Previous Month Ultimo,Current Month Primo
###-2XL-B,10.0,10.0
###-2XL-W,8.0,8.0
###-L-B,19.0,19.0
###-L-W,19.0,19.0
###-M-B,20.0,20.0
###-M-W,18.0,18.0
###-S-B,10.0,10.0
###-S-W,9.0,9.0
###-XL-B,20.0,20.0
###-XL-W,17.0,17.0
###-XS-B,5.0,5.0
###-XS-W,4.0,4.0
020931-99-3-B-XS,2.0,2.0
020931-99-4-B-S,2.0,2.0
020931-99-5-B-M,2.0,2.0
020931-99-6-B-L,0.0,0.0
020931-99-8-B-XXL,1.0,1.0
020932-99-4-B-S,1.0,1.0
020932-99-5-B-M,3.0,3.0
020932-99-6-B-L,3.0,3.0
021030-92-3-XS-ASH,14.0,14.0
021030-92-4-S-ASH,108.0,108.0
021030-92-5-M-ASH,7.0,7.0
021030-92-6-L-ASH,56.0,56.0
021030-92-7-XL-ASH,66.0,66.0
021030-92-8-2XL-ASH,57.0,57.0
021030-92-9-3XL-ASH,7.0,7.0
021030-99-10-4XL-B,20.0,20.0
021030-99-3-XS-B,4.0,4.0
021030-99-4-S-B,99.0,99.0
021030-99-5-M-B,95.0,95.0
021030-99-6-L-B,88.0,88.0
021030-99-7-XL-B,96.0,96.0
021030-99-8-2XL-B,48.0,48.0
021030-99-9-3XL-B,54.0,54.0
021033-99-10-4XL-B,16.0,16.0
021033-99-11-5Xl-B,15.0,15.0
021033-99-3-XS-B,8.0,8.0
021033-99-4-S-B,39.0,39.0
021033-99-5-M-B,79.0,79.0
021033-99-6-L-B,73.0,73.0
021033-99-7-XL-B,82.0,82.0
021033-99-8-2XL-B,67.0,67.0
021033-99-9-3XL-B,12.0,12.0
027950-00-4-S-W,8.0,8.0
027950-00-5-M-W,15.0,15.0
027950-00-6-L-W,6.0,6.0
027950-00-7-XL-W,19.0,19.0
027950-00-8-2XL-W,9.0,9.0
027955-00-4-S-W,10.0,10.0
027955-00-5-M-W,19.0,19.0
027955-00-6-L-W,17.0,17.0
027955-00-7-XL-W,17.0,17.0
027955-00-8-2XL-W,5.0,5.0
028247-99-3-XS-B,8.0,8.0
028247-99-4-S-B,19.0,19.0
028247-99-5-M-B,37.0,37.0
028247-99-6-L-B,17.0,17.0
028247-99-7-XL-B,19.0,19.0
028247-99-8-2XL-B,10.0,10.0
029033-00-10-4XL-W,30.0,30.0
029033-00-3-XS-W,20.0,20.0
029033-00-4-S-W,100.0,100.0
029033-00-5-M-W,95.0,95.0
029033-00-6-L-W,38.0,38.0
029033-00-7-XL-W,97.0,97.0
029033-00-8-2XL-W,47.0,47.0
029033-00-9-3XL-W,52.0,52.0
029033-99-10-4XL-B,10.0,10.0
029033-99-3-XS-B,20.0,20.0
029033-99-4-S-B,50.0,50.0
029033-99-5-M-B,43.0,43.0
029033-99-6-L-B,106.0,106.0
029033-99-7-XL-B,112.0,112.0
029033-99-8-2XL-B,46.0,46.0
029033-99-9-3XL-B,7.0,7.0
029034-99-4-S-B,45.0,45.0
029034-99-5-M-B,45.0,45.0
0510-00-10-4XL-W,10.0,10.0
0510-00-11-5XL-W,10.0,10.0
0510-00-4-S-W,46.0,46.0
0510-00-5-M-W,94.0,94.0
0510-00-6-L-W,90.0,90.0
0510-00-7-XL-W,99.0,99.0
0510-00-8-2XL-W,50.0,50.0
0510-00-9-3XL-W,30.0,30.0
0510-99-10-4XL-B,10.0,10.0
0510-99-11-5XL-B,10.0,10.0
0510-99-4-S-B,46.0,46.0
0510-99-5-M-B,94.0,94.0
0510-99-6-L-B,88.0,88.0
0510-99-7-XL-B,90.0,90.0
0510-99-8-2XL-B,50.0,50.0
0510-99-9-3XL-B,30.0,30.0
0511-00-10-4XL-W,10.0,10.0
0511-00-4-S-W,49.0,49.0
0511-00-5-M-W,82.0,82.0
0511-00-6-L-W,61.0,61.0
0511-00-7-XL-W,99.0,99.0
0511-00-8-2XL-W,45.0,45.0
0511-00-9-3XL-W,10.0,10.0
0511-99-4-S-B,136.0,136.0
0511-99-5-M-B,90.0,90.0
0511-99-6-L-B,74.0,74.0
0511-99-7-XL-B,94.0,94.0
0511-99-8-2XL-B,5.0,5.0
10441,14542.0,14542.0
10442,14247.0,14247.0
10443,14447.0,14447.0
39473090-DE,426.0,426.0
39473090-DK,1144.0,1144.0
39473090-FI,2.0,2.0
39473090-INT,369.0,369.0
39473090-KP-DE,309.0,309.0
39473090-KP-DK,528.0,528.0
5430-99-4-S-B,29.0,29.0
5430-99-5-M-B,49.0,49.0
5430-99-6-L-B,59.0,59.0
5430-99-7-XL-B,63.0,63.0
5430-99-8-2XL-B,59.0,59.0
5430X-99-9-3XL-B,20.0,20.0
6429,17519.0,17519.0
6430,17931.0,17931.0
6431,17843.0,17843.0
6432,15024.0,15024.0
6436,15033.0,15033.0
9630-99-4-S-B,19.0,19.0
9630-99-5-M-B,55.0,55.0
9630-99-6-L-B,65.0,65.0
9630-99-7-XL-B,77.0,77.0
9630-99-8-2XL-B,29.0,29.0
9630-99-9-3XL-B,39.0,39.0
9630X-99-10-4XL-B,10.0,10.0
9630X-99-11-5XL-B,10.0,10.0
9631-99-4-S-B,9.0,9.0
9631-99-5-M-B,16.0,16.0
9631-99-6-L-B,19.0,19.0
9631-99-7-XL-B,9.0,9.0
9631-99-8-2XL-B,10.0,10.0
A920Pro-2AW-RE6-20EU,0.0,0.0
A920Pro-2AW-RE6-20EU-C-UK,0.0,0.0
A920Pro-2AW-RE6-20EU-FR,2040.0,2040.0
Basic-Langærmet-Unisex-L-B,38.0,38.0
Basic-Langærmet-Unisex-M-B,39.0,39.0
Basic-Langærmet-Unisex-M-W,14.0,14.0
Basic-Langærmet-Unisex-S-B,19.0,19.0
Basic-Langærmet-Unisex-S-W,5.0,5.0
Basic-Langærmet-Unisex-XS-B,9.0,9.0
Basic-Langærmet-Unisex-XS-W,4.0,4.0
Basic-Tshirt-Krave-2XL-B,24.0,24.0
Basic-Tshirt-Krave-3XL-B,6.0,6.0
Basic-Tshirt-Krave-L-B,7.0,7.0
Basic-Tshirt-Krave-M-B,24.0,24.0
Basic-Tshirt-Krave-S-B,14.0,14.0
Basic-Tshirt-Krave-XL-B,22.0,22.0
Basic-Tshirt-Krave-XS-B,13.0,13.0
CA-CD330-48B,665.0,665.0
Cposx5-DE,1240.0,1240.0
Cposx5-DK,310.0,310.0
Cposx5-FI,200.0,200.0
Cposx5-R-DE,55.0,55.0
Cposx5-R-DK,327.0,327.0
Cposx5-R-FI,0.0,0.0
Ether10m,79.0,79.0
Ether20m,220.0,220.0
"Ether7,5m",8852.0,8852.0
FP_SK_EVA_Black,116.0,116.0
K1480-B,5725.0,5725.0
K1480-W,40049.0,40049.0
L920Pro-BC-1E0,33118.0,33118.0
MT134-1,5121.0,5121.0
Silicone_cover_white,8993.0,8993.0
Sim-CPOS-2MM,4522.0,4522.0
"Sim-Terminal-1,5MM",35950.0,35950.0
TB32BXU,0.0,0.0
TB32BXU-C-DE,919.0,919.0
TB32BXU-C-DK,0.0,0.0
TB32BXU-C-IT,0.0,0.0
TB32BXU-DE,0.0,0.0
TB32BXU-DK,1023.0,1023.0
TH13-B,3099.0,3099.0
TP-Link WA850RE,0.0,0.0
Terminal Stand Black,0.0,0.0
Terminal stand White,1892.0,1892.0
UN3480_FP_TERMINAL_BAT,1374.0,1374.0
VEJLEDNING-POS,5879.0,5879.0
VL305.741,757.0,757.0
VL308.096,616.0,616.0
silicone_cover_black,9935.0,9935.0
